,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
728,0.857,0.855,9,-2.329,0,0.069,0.173,0,0.0545,0.59,107.924,audio_features,5ZzJXBVQCTolSrzUdPJduW,spotify:track:5ZzJXBVQCTolSrzUdPJduW,https://api.spotify.com/v1/tracks/5ZzJXBVQCTolSrzUdPJduW,https://api.spotify.com/v1/audio-analysis/5ZzJXBVQCTolSrzUdPJduW,173889,4
729,0.743,0.934,3,-1.213,0,0.084,0.152,0,0.0735,0.603,123.011,audio_features,4J20QVGtdAAOYMpb8iY2GG,spotify:track:4J20QVGtdAAOYMpb8iY2GG,https://api.spotify.com/v1/tracks/4J20QVGtdAAOYMpb8iY2GG,https://api.spotify.com/v1/audio-analysis/4J20QVGtdAAOYMpb8iY2GG,200976,4
730,0.643,0.729,11,-4.039,1,0.0791,0.265,0,0.683,0.755,127.919,audio_features,5xNbWnsQJ9lyzPlK36J1cm,spotify:track:5xNbWnsQJ9lyzPlK36J1cm,https://api.spotify.com/v1/tracks/5xNbWnsQJ9lyzPlK36J1cm,https://api.spotify.com/v1/audio-analysis/5xNbWnsQJ9lyzPlK36J1cm,207305,4
731,0.638,0.573,4,-12.697,0,0.0962,0.028,0.000328,0.331,0.898,129.393,audio_features,7FdLxktAbiOF4gKfoZmg30,spotify:track:7FdLxktAbiOF4gKfoZmg30,https://api.spotify.com/v1/tracks/7FdLxktAbiOF4gKfoZmg30,https://api.spotify.com/v1/audio-analysis/7FdLxktAbiOF4gKfoZmg30,197387,4
732,0.527,0.435,0,-10.2,1,0.0277,0.661,0.00311,0.0755,0.417,79.853,audio_features,3675kS1JGbiVfcbyMnvQ5v,spotify:track:3675kS1JGbiVfcbyMnvQ5v,https://api.spotify.com/v1/tracks/3675kS1JGbiVfcbyMnvQ5v,https://api.spotify.com/v1/audio-analysis/3675kS1JGbiVfcbyMnvQ5v,223907,4
733,0.412,0.5,9,-10.486,1,0.0495,0.644,0,0.0889,0.485,188.853,audio_features,4HrFDg5eOE6jvkxUCB4YBR,spotify:track:4HrFDg5eOE6jvkxUCB4YBR,https://api.spotify.com/v1/tracks/4HrFDg5eOE6jvkxUCB4YBR,https://api.spotify.com/v1/audio-analysis/4HrFDg5eOE6jvkxUCB4YBR,196680,4
734,0.33,0.496,0,-11.03,1,0.0378,0.432,2.55E-05,0.133,0.174,77.264,audio_features,14sg9ZAxMjYdA5x9VBTWeh,spotify:track:14sg9ZAxMjYdA5x9VBTWeh,https://api.spotify.com/v1/tracks/14sg9ZAxMjYdA5x9VBTWeh,https://api.spotify.com/v1/audio-analysis/14sg9ZAxMjYdA5x9VBTWeh,189240,4
735,0.561,0.36,9,-11.937,1,0.0287,0.557,6.31E-05,0.11,0.231,80.355,audio_features,7esSgWtKUcSdxffLGomgN4,spotify:track:7esSgWtKUcSdxffLGomgN4,https://api.spotify.com/v1/tracks/7esSgWtKUcSdxffLGomgN4,https://api.spotify.com/v1/audio-analysis/7esSgWtKUcSdxffLGomgN4,197840,4
736,0.542,0.439,9,-10.234,1,0.024,0.489,2.69E-06,0.0758,0.367,94.194,audio_features,5PwTo6K4ODM5PskH8o3eEi,spotify:track:5PwTo6K4ODM5PskH8o3eEi,https://api.spotify.com/v1/tracks/5PwTo6K4ODM5PskH8o3eEi,https://api.spotify.com/v1/audio-analysis/5PwTo6K4ODM5PskH8o3eEi,192880,4
737,0.623,0.426,1,-13.875,0,0.0507,0.509,0.00616,0.0719,0.344,96.895,audio_features,2hUsVGl6Di0q3YLukUjZ18,spotify:track:2hUsVGl6Di0q3YLukUjZ18,https://api.spotify.com/v1/tracks/2hUsVGl6Di0q3YLukUjZ18,https://api.spotify.com/v1/audio-analysis/2hUsVGl6Di0q3YLukUjZ18,216280,4
738,0.682,0.565,7,-10.693,1,0.0267,0.391,1.05E-06,0.22,0.54,104.772,audio_features,2vMvuXtgfEUDFQT9gf6xjI,spotify:track:2vMvuXtgfEUDFQT9gf6xjI,https://api.spotify.com/v1/tracks/2vMvuXtgfEUDFQT9gf6xjI,https://api.spotify.com/v1/audio-analysis/2vMvuXtgfEUDFQT9gf6xjI,195533,4
739,0.457,0.588,2,-11.21,1,0.0596,0.787,0.000142,0.364,0.578,184.358,audio_features,3xgA0ut3S2EMwMa6GRCbXq,spotify:track:3xgA0ut3S2EMwMa6GRCbXq,https://api.spotify.com/v1/tracks/3xgA0ut3S2EMwMa6GRCbXq,https://api.spotify.com/v1/audio-analysis/3xgA0ut3S2EMwMa6GRCbXq,235373,4
740,0.458,0.335,4,-13.003,0,0.0389,0.158,4.60E-05,0.118,0.154,115.874,audio_features,58Dg4lVTuGK3yKEI3YaXCu,spotify:track:58Dg4lVTuGK3yKEI3YaXCu,https://api.spotify.com/v1/tracks/58Dg4lVTuGK3yKEI3YaXCu,https://api.spotify.com/v1/audio-analysis/58Dg4lVTuGK3yKEI3YaXCu,161960,4
741,0.51,0.3,11,-11.978,1,0.0337,0.706,1.78E-05,0.183,0.211,123.845,audio_features,4rDS0T0GT9nzkm5HOpI2yY,spotify:track:4rDS0T0GT9nzkm5HOpI2yY,https://api.spotify.com/v1/tracks/4rDS0T0GT9nzkm5HOpI2yY,https://api.spotify.com/v1/audio-analysis/4rDS0T0GT9nzkm5HOpI2yY,284920,4
742,0.452,0.461,5,-8.039,1,0.0539,0.754,0,0.0999,0.197,73.816,audio_features,46SCEN5yCNMXETqZH26mFD,spotify:track:46SCEN5yCNMXETqZH26mFD,https://api.spotify.com/v1/tracks/46SCEN5yCNMXETqZH26mFD,https://api.spotify.com/v1/audio-analysis/46SCEN5yCNMXETqZH26mFD,227733,4
743,0.547,0.219,7,-19.002,0,0.0339,0.543,3.70E-05,0.0574,0.16,137.922,audio_features,31xgwYhdr6FfVqMyol6Lci,spotify:track:31xgwYhdr6FfVqMyol6Lci,https://api.spotify.com/v1/tracks/31xgwYhdr6FfVqMyol6Lci,https://api.spotify.com/v1/audio-analysis/31xgwYhdr6FfVqMyol6Lci,260000,4
744,0.277,0.75,5,-5.22,0,0.08,0.879,0.000132,0.151,0.406,134.289,audio_features,0WLbxyoouQiAHKYdO2WwaA,spotify:track:0WLbxyoouQiAHKYdO2WwaA,https://api.spotify.com/v1/tracks/0WLbxyoouQiAHKYdO2WwaA,https://api.spotify.com/v1/audio-analysis/0WLbxyoouQiAHKYdO2WwaA,184000,4
745,0.235,0.389,0,-8.729,1,0.0315,0.782,7.77E-06,0.0905,0.239,150.592,audio_features,6PB3ve7L9FBnd5BcC8xa2a,spotify:track:6PB3ve7L9FBnd5BcC8xa2a,https://api.spotify.com/v1/tracks/6PB3ve7L9FBnd5BcC8xa2a,https://api.spotify.com/v1/audio-analysis/6PB3ve7L9FBnd5BcC8xa2a,313618,4
746,0.591,0.568,11,-9.696,1,0.027,0.508,0,0.0861,0.306,131.959,audio_features,6yZDN0VZaymHGyzqrwBAOa,spotify:track:6yZDN0VZaymHGyzqrwBAOa,https://api.spotify.com/v1/tracks/6yZDN0VZaymHGyzqrwBAOa,https://api.spotify.com/v1/audio-analysis/6yZDN0VZaymHGyzqrwBAOa,232253,4
747,0.524,0.208,5,-11.797,1,0.0338,0.53,0.000225,0.0879,0.0949,135.905,audio_features,76yOED8M4gFJrzLKXlO3Op,spotify:track:76yOED8M4gFJrzLKXlO3Op,https://api.spotify.com/v1/tracks/76yOED8M4gFJrzLKXlO3Op,https://api.spotify.com/v1/audio-analysis/76yOED8M4gFJrzLKXlO3Op,278827,4
748,0.329,0.349,7,-10.749,1,0.0301,0.634,0,0.0751,0.135,91.973,audio_features,36Oax3BEwgYBcrjFDPKQ9H,spotify:track:36Oax3BEwgYBcrjFDPKQ9H,https://api.spotify.com/v1/tracks/36Oax3BEwgYBcrjFDPKQ9H,https://api.spotify.com/v1/audio-analysis/36Oax3BEwgYBcrjFDPKQ9H,224307,4
749,0.248,0.341,6,-8.839,1,0.0323,0.735,4.55E-05,0.11,0.0979,137.416,audio_features,5rBAr4ldxEDzXyqiKO09S8,spotify:track:5rBAr4ldxEDzXyqiKO09S8,https://api.spotify.com/v1/tracks/5rBAr4ldxEDzXyqiKO09S8,https://api.spotify.com/v1/audio-analysis/5rBAr4ldxEDzXyqiKO09S8,204160,3
